,country_name,year_amended,doc_len,country_text_id,dem_year,electoral_democracy,liberal_democracy,participatory_democracy,deliberative_democracy,egalitarian_democracy,freedom_expression,freedom_association,suffrage,free_fair_elections,rule_of_law,judicial_constraints,legislative_constraints,regime_type,accountability,presidentialism,civil_liberties,political_exclusion,political_corruption,public_sector_corruption,gender_equality_index,fh_political_rights,fh_civil_liberties,fh_total_score,fh_status
110,Mauritius,2011,221199,MUS,2024.0,0.495,0.371,0.316,0.411,0.382,0.621,0.791,1.0,0.609,0.705,0.707,0.707,1.0,1.064,0.204,0.706,,0.455,0.197,0.78,35.0,50.0,85.0,F
111,Mexico,2007,320436,MEX,2024.0,0.496,0.246,0.342,0.266,0.276,0.645,0.709,1.0,0.592,0.533,0.394,0.243,1.0,0.497,0.548,0.63,,0.581,0.487,0.798,27.0,33.0,60.0,PF
112,Micronesia,1990,32968,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Moldova,2006,82192,MDA,2024.0,0.622,0.503,0.442,0.507,0.493,0.674,0.847,1.0,0.775,0.862,0.859,0.692,2.0,0.908,0.106,0.863,,0.325,0.336,0.896,26.0,35.0,61.0,PF
114,Monaco,2002,28323,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Mongolia,2001,59793,MNG,2024.0,0.498,0.385,0.249,0.395,0.352,0.694,0.658,1.0,0.605,0.741,0.765,0.69,1.0,0.743,0.241,0.753,,0.687,0.743,0.81,36.0,48.0,84.0,F
116,Montenegro,2007,73372,MNE,2024.0,0.64,0.5,0.405,0.504,0.512,0.855,0.868,1.0,0.617,0.903,0.683,0.72,2.0,1.023,0.269,0.901,,0.475,0.264,0.858,27.0,42.0,69.0,PF
117,Morocco,2011,103049,MAR,2024.0,0.261,0.252,0.153,0.279,0.204,0.595,0.548,1.0,0.455,0.708,0.767,0.711,0.0,0.402,0.25,0.651,,0.664,0.707,0.722,13.0,24.0,37.0,PF
118,Mozambique,2007,155802,MOZ,2024.0,0.31,0.189,0.209,0.178,0.2,0.52,0.601,1.0,0.156,0.415,0.567,0.384,1.0,-0.083,0.52,0.488,,0.698,0.879,0.698,14.0,30.0,44.0,PF
119,Myanmar,2008,254443,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Namibia,2010,150207,NAM,2024.0,0.624,0.516,0.344,0.458,0.322,0.844,0.859,1.0,0.612,0.902,0.839,0.757,2.0,0.987,0.155,0.875,,0.283,0.388,0.853,31.0,46.0,77.0,F
121,Nauru,1968,80562,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Nepal,2010,243299,NPL,2024.0,0.669,0.52,0.431,0.428,0.433,0.832,0.865,1.0,0.711,0.732,0.781,0.789,2.0,1.067,0.179,0.771,,0.622,0.609,0.774,28.0,34.0,62.0,PF
123,Netherlands,2008,57021,NLD,2024.0,0.823,0.766,0.554,0.732,0.728,0.892,0.868,1.0,0.955,0.95,0.951,0.956,3.0,1.578,0.036,0.904,,0.018,0.023,0.901,39.0,58.0,97.0,F
124,Nicaragua,2005,122015,NIC,2024.0,0.151,0.02,0.098,0.018,0.085,0.022,0.042,1.0,0.137,0.038,0.003,0.026,1.0,-1.389,0.992,0.088,,0.942,0.911,0.526,4.0,12.0,16.0,NF
125,Niger,2010,90177,NER,2024.0,0.237,0.182,0.199,0.247,0.221,0.749,0.665,1.0,0.0,0.806,0.755,0.719,0.0,0.621,0.362,0.762,,0.57,0.676,0.701,6.0,27.0,33.0,PF
126,Nigeria,1999,382748,NGA,2024.0,0.499,0.314,0.336,0.354,0.298,0.893,0.793,1.0,0.35,0.643,0.429,0.591,1.0,0.8,0.479,0.679,,0.932,0.888,0.689,20.0,24.0,44.0,PF
127,Norway,2004,44949,NOR,2024.0,0.889,0.847,0.637,0.861,0.843,0.948,0.915,1.0,0.967,0.972,0.955,0.984,3.0,1.867,0.027,0.947,,0.01,0.012,0.929,39.0,59.0,98.0,F
