,country,year,n_tokens,n_matched,pct_matched,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment,country_clean,electoral_democracy,liberal_democracy,participatory_democracy
82,Laos,2003,6423,553,0.08609683948310758,0.11030741410488246,0.4394213381555154,0.03074141048824593,0.18083182640144665,0.36528028933092227,0.07233273056057866,0.06148282097649186,0.6907775768535263,0.6618444846292948,Laos,0.09,0.089,0.091
83,Latvia,2007,4887,405,0.08287292817679558,0.1382716049382716,0.4641975308641975,0.056790123456790124,0.18518518518518517,0.4765432098765432,0.11358024691358025,0.07654320987654321,0.762962962962963,0.6098765432098765,Latvia,0.793,0.685,0.568
84,Lebanon,2004,6381,560,0.08776053910045448,0.07678571428571429,0.4589285714285714,0.025,0.1982142857142857,0.3875,0.12857142857142856,0.09107142857142857,0.6803571428571429,0.5232142857142857,Lebanon,0.355,0.207,0.13
85,Lesotho,1998,42510,3059,0.071959538932016,0.20137299771167047,0.3641712978097417,0.07518796992481203,0.34619156587119976,0.16312520431513566,0.15429879045439687,0.04838182412553122,0.5697940503432495,0.33965348152991176,Lesotho,0.371,0.288,0.188
86,Liberia,1986,11730,1029,0.08772378516624041,0.23809523809523808,0.3624878522837707,0.09912536443148688,0.3216715257531584,0.25072886297376096,0.1477162293488824,0.09718172983479106,0.5510204081632653,0.28377065111758987,Liberia,0.234,0.129,0.118
87,Libya,2011,2947,349,0.11842551747539871,0.08595988538681948,0.40114613180515757,0.10028653295128939,0.17478510028653296,0.2922636103151863,0.07736389684813753,0.07449856733524356,0.7363896848137536,0.5959885386819485,Libya,0.175,0.061,0.099
88,Lithuania,2006,14374,1196,0.08320578822874634,0.2157190635451505,0.3403010033444816,0.05936454849498328,0.31270903010033446,0.33528428093645485,0.11204013377926421,0.08277591973244147,0.568561872909699,0.44732441471571904,Lithuania,0.822,0.761,0.585
89,Luxembourg,2009,6181,582,0.09415952111308849,0.18041237113402062,0.48109965635738833,0.04639175257731959,0.24742268041237114,0.422680412371134,0.13402061855670103,0.08075601374570447,0.6323024054982818,0.44329896907216493,Luxembourg,0.871,0.79,0.636
90,Macedonia,2011,13425,1316,0.09802607076350094,0.18617021276595744,0.42629179331306993,0.06306990881458967,0.23100303951367782,0.32142857142857145,0.14285714285714285,0.09650455927051672,0.6580547112462006,0.5121580547112462,North Macedonia,0.478,0.34,0.323
91,Madagascar,2010,14884,1385,0.0930529427573233,0.16462093862815885,0.4223826714801444,0.04043321299638989,0.24115523465703972,0.2772563176895307,0.10180505415162455,0.059927797833935016,0.628158844765343,0.5371841155234657,Madagascar,0.221,0.079,0.145
92,Malawi,1999,33033,2587,0.07831562377016922,0.17433320448395825,0.31851565519907227,0.0622342481638964,0.29996134518747586,0.21260146888287593,0.13142636258214146,0.0467723231542327,0.6582914572864321,0.43254735214534207,Malawi,0.512,0.401,0.247
93,Malaysia,1996,63734,3757,0.05894812815765525,0.20069204152249134,0.37929198828852806,0.05855735959542188,0.3260580250199627,0.23369709874900185,0.14266702155975514,0.042853340431195104,0.563747671014107,0.3638541389406441,Malaysia,0.257,0.161,0.166
94,Maldives,2008,24334,2191,0.09003862907865538,0.1574623459607485,0.36421725239616615,0.07028753993610223,0.20858055682336832,0.3094477407576449,0.09675947056138749,0.0730260155180283,0.7042446371519854,0.553628480146052,Maldives,0.459,0.246,0.211
95,Mali,1992,7663,916,0.11953542998825525,0.13755458515283842,0.42903930131004364,0.03165938864628821,0.22161572052401746,0.28820960698689957,0.08296943231441048,0.07641921397379912,0.7052401746724891,0.5786026200873362,Mali,0.473,0.344,0.334
96,Malta,2011,31824,2173,0.06828179989944695,0.2208927749654855,0.3097100782328578,0.06442705936493327,0.320294523699954,0.17993557294063506,0.18407731247123793,0.05200184077312471,0.5306028531983433,0.29820524620340544,Malta,0.815,0.623,0.567
97,Mauritania,2012,7760,768,0.09896907216494845,0.1171875,0.3723958333333333,0.040364583333333336,0.18619791666666666,0.29296875,0.09765625,0.08203125,0.73046875,0.5885416666666666,Mauritania,0.471,0.23,0.169
98,Mauritius,2011,37129,3071,0.0827116270300843,0.20840117225659394,0.3126017583848909,0.08857049820905243,0.30608922175187236,0.1429501790947574,0.14457831325301204,0.042005861282969716,0.5874308042982742,0.36958645392380335,Mauritius,0.746,0.656,0.478
99,Mexico,2007,50574,3758,0.07430695614347294,0.17110164981373072,0.3520489622139436,0.09606173496540713,0.248270356572645,0.25146354443853114,0.1423629590207557,0.07503991484832358,0.5779670037253859,0.3807876530069186,Mexico,0.639,0.454,0.395
100,Moldova,2006,12915,1135,0.08788230739450252,0.15418502202643172,0.39295154185022024,0.051982378854625554,0.23083700440528634,0.33480176211453744,0.11013215859030837,0.08898678414096917,0.6273127753303964,0.4960352422907489,Moldova,0.435,0.343,0.253
101,Mongolia,2001,9455,789,0.0834479111581174,0.19011406844106463,0.34347275031685676,0.058301647655259824,0.2788339670468948,0.2623574144486692,0.10899873257287707,0.08111533586818757,0.6121673003802282,0.46134347275031684,Mongolia,0.663,0.541,0.377
102,Montenegro,2007,11358,1212,0.10670892762810354,0.22937293729372937,0.4240924092409241,0.09983498349834984,0.33085808580858084,0.2978547854785479,0.1476897689768977,0.07755775577557755,0.5693069306930693,0.3712871287128713,Montenegro,0.493,0.392,0.334
103,Morocco,2011,16064,1337,0.08322958167330677,0.13612565445026178,0.4667165295437547,0.02318623784592371,0.2243829468960359,0.3223635003739716,0.09648466716529544,0.07778608825729244,0.6342557965594615,0.5362752430815259,Morocco,0.262,0.234,0.165
104,Mozambique,2007,24020,2401,0.09995836802664446,0.14244064972927947,0.37859225322782175,0.05039566847147022,0.21199500208246563,0.27613494377342773,0.10620574760516452,0.053727613494377345,0.6605581007913369,0.5364431486880467,Mozambique,0.464,0.313,0.281
105,Myanmar,2008,40265,2468,0.06129392772879672,0.14424635332252836,0.30226904376012964,0.05429497568881685,0.3047001620745543,0.18881685575364668,0.18314424635332252,0.08670988654781199,0.6389789303079416,0.40640194489465153,Burma/Myanmar,0.096,0.018,0.049
106,Namibia,2010,24180,2026,0.08378825475599669,0.15301085883514315,0.34600197433366237,0.05330700888450148,0.23790720631786771,0.2295162882527147,0.09427443237907206,0.07354392892398816,0.6836130306021717,0.5301085883514314,Namibia,0.637,0.528,0.4
